AREA_CODE,Name,,Assault,Break and Enter,Drug,Murder,Robbery,Sex Assault,Cars,Theft,CrimeScore
1,West Humber-Clairville,,0.400139909,0.544585987,0.098219104,0,0.375,0.679180887,0.906652361,0.793969849,0.271267721
2,Mount Olive-Silverstone-Jamestown,,0.337180832,0.197452229,0.148407987,0.12,0.371875,0.781569966,0.2027897,0.105527638,0.213200239
3,Thistletown-Beaumond Heights,,0.293809024,0.377919321,0.085267134,0,0.2625,0.80887372,0.127682403,0.100502513,0.146896723
4,Rexdale-Kipling,,0.196922001,0.323779193,0.077172153,0.4,0.2390625,0.651877133,0.184549356,0.145728643,0.32993507
5,Elms-Old Rexdale,,0.282266527,0.278131635,0.079330815,0,0.3765625,0.177474403,0.247854077,1,0.174401425
6,Kingsview Village-The Westway,,0.215459951,0.287685775,0.116567728,0.2,0.2296875,0.344709898,0.237124464,0.185929648,0.215511783
7,Willowridge-Martingrove-Richview,,0.214760406,0.328025478,0.045331894,0,0.3515625,0.351535836,0.246781116,0.185929648,0.123137634
8,Humber Heights-Westmount,,0.135711787,0.281316348,0.061521856,0,0.221875,0.030716724,0.081545064,0.045226131,0.061279494
9,Edenbridge-Humber Valley,,0.133962924,0.535031847,0.014570966,0,0.1890625,0.116040956,0.151287554,0.170854271,0.093629358
10,Princess-Rosethorn,,0.150402239,0.474522293,0.077172153,0,0.2375,0.030716724,0.153433476,0.407035176,0.109341576
11,Eringate-Centennial-West Deane,,0.107729976,0.355626327,0.02590394,0,0.290625,0.163822526,0.142703863,0.135678392,0.087292144
12,Markland Woods,,0.140958377,0.244161359,0.051807879,0,0.3,0.098976109,0.143776824,0,0.069977182
13,Etobicoke West Mall,,0.233648129,0.252653928,0.054506206,0.36,0.2140625,0.187713311,0.146995708,0.185929648,0.271107816
14,Islington-City Centre West,,0.246239944,0.577494692,0.100917431,0.12,0.2375,0.33105802,0.530042918,0.301507538,0.226054325
15,Kingsway South,,0.14130815,0.336518047,0.035617917,0,0.5125,0.037542662,0.175965665,0.110552764,0.096428943
16,Stonegate-Queensway,,0.185729276,0.370488323,0.041554236,0,0.1328125,0.139931741,0.217811159,0.180904523,0.090659411
17,Mimico,,0.264428122,0.555201699,0.10577442,0,0.09375,0.180887372,0.141630901,0.170854271,0.108037627
18,New Toronto,,0.439664218,0.671974522,0.207771182,0,0.53125,0.249146758,0.275751073,0,0.169682697
19,Long Branch,,0.283315845,0.452229299,0.07285483,0,0.1953125,0.744027304,0.189914163,0.105527638,0.145941541
20,Alderwood,,0.144106331,0.687898089,0.058823529,0,0.1578125,0.43003413,0.17167382,0.170854271,0.130085905
21,Humber Summit,,0.273172438,0.643312102,0.047490556,0.32,0.3734375,0.218430034,0.504291845,0.24120603,0.324381465
22,Humbermede,,0.288912207,0.388535032,0.119266055,0,0.39375,0.730375427,0.30472103,0.065326633,0.163634742
23,Pelmo Park-Humberlea,,0.252186079,0.449044586,0.26551538,0,0.696875,0.194539249,0.356223176,0.346733668,0.182936938
24,Black Creek,,0.38440014,0.360934183,0.220723152,0.2,0.4609375,0.556313993,0.287553648,0.090452261,0.268665348
25,Glenfield-Jane Heights,,0.332983561,0.28343949,0.201295197,0.12,0.596875,0.781569966,0.126609442,0.065326633,0.230578521
26,Downsview-Roding-CFB,,0.405736271,0.573248408,0.196438208,0.36,0.346875,0.491467577,0.395922747,0.115577889,0.36037615
27,York University Heights,,0.355718783,0.574309979,0.109012412,0.28,0.5578125,0.604095563,0.472103004,0.291457286,0.351750681
28,Rustic,,0.303252886,0.459660297,0.135995683,0.4,0.6453125,0.481228669,0.194206009,0.251256281,0.376493737
29,Maple Leaf,,0.126967471,0.302547771,0.047490556,0,0.2921875,0.33447099,0.137339056,0,0.088643096
30,Brookhaven-Amesbury,,0.281566981,0.346072187,0.100377766,0,0.28125,1,0.314377682,0.170854271,0.178178492
31,Yorkdale-Glen Park,,0.430570129,0.484076433,0.220183486,0,0.8609375,0.255972696,1,0.477386935,0.266366227
32,Englemount-Lawrence,,0.232598811,0.393842887,0.041554236,0,0.5578125,0.293515358,0.130901288,0.115577889,0.126128784
33,Clanton Park,,0.289611752,0.436305732,0.055585537,0.28,0.3203125,0.279863481,0.307939914,0.341708543,0.285094819
34,Bathurst Manor,,0.126967471,0.399150743,0.031300594,0,0.090625,0.177474403,0.173819742,0.16080402,0.082867284
35,Westminster-Branson,,0.176285414,0.409766454,0.049109552,0,0.165625,0.187713311,0.10944206,0.140703518,0.088474665
